Date,Region,Product,Category,Salesperson,Units,Revenue,Cost,Profit
2026-04-02,North,Laptop Pro,Electronics,Aman,11,132000,88000,44000
2026-04-05,South,Wireless Headphones,Electronics,Priya,58,87000,40600,46400
2026-04-07,East,Office Chair,Furniture,Neeraj,28,70000,42000,28000
2026-04-09,West,Standing Desk,Furniture,Sara,14,112000,70000,42000
2026-04-11,North,Smartphone X,Electronics,Aman,50,250000,150000,100000
2026-04-14,South,Monitor 27",Electronics,Priya,22,110000,66000,44000
2026-04-16,East,Gaming Chair,Furniture,Neeraj,17,85000,51000,34000
2026-04-18,West,Laptop Pro,Electronics,Sara,13,156000,104000,52000
2026-04-20,North,Keyboard Mech,Electronics,Aman,75,90000,45000,45000
2026-04-23,South,Office Chair,Furniture,Priya,21,52500,31500,21000
2026-04-26,East,Smartphone X,Electronics,Neeraj,37,185000,111000,74000
2026-04-29,West,Wireless Headphones,Electronics,Sara,61,91500,42700,48800
2026-05-03,North,Standing Desk,Furniture,Aman,18,144000,90000,54000
2026-05-06,South,Laptop Pro,Electronics,Priya,15,180000,120000,60000
2026-05-09,East,Monitor 27",Electronics,Neeraj,26,130000,78000,52000
2026-05-12,West,Gaming Chair,Furniture,Sara,19,95000,57000,38000
2026-05-15,North,Smartphone X,Electronics,Aman,55,275000,165000,110000
2026-05-18,South,Keyboard Mech,Electronics,Priya,80,96000,48000,48000
2026-05-21,East,Laptop Pro,Electronics,Neeraj,10,120000,80000,40000
2026-05-24,West,Office Chair,Furniture,Sara,32,80000,48000,32000
2026-06-02,North,Monitor 27",Electronics,Aman,23,115000,69000,46000
2026-06-05,South,Standing Desk,Furniture,Priya,16,128000,80000,48000
2026-06-08,East,Wireless Headphones,Electronics,Neeraj,63,94500,44100,50400
2026-06-11,West,Smartphone X,Electronics,Sara,42,210000,126000,84000
2026-06-14,North,Gaming Chair,Furniture,Aman,24,120000,72000,48000
2026-06-17,South,Laptop Pro,Electronics,Priya,20,240000,160000,80000
2026-06-20,East,Keyboard Mech,Electronics,Neeraj,68,81600,40800,40800
2026-06-23,West,Monitor 27",Electronics,Sara,30,150000,90000,60000
2026-06-26,North,Office Chair,Furniture,Aman,26,65000,39000,26000
2026-06-29,South,Smartphone X,Electronics,Priya,48,240000,144000,96000
